CLUSTER,REGION,IS_MALE,IS_FEMALE,TOTAL_SPEND_WATCHES,TOTAL_SPEND_ACCESSORIES,TOTAL_SPEND_BAGS,TOTAL_SPEND_WALLETS,TOTAL_SPEND_JEWELRY,EMAIL_CLICK_RATE,DAYS_SINCE_LAST_EMAIL_CLICK,MOBILE_SESSION_SHARE,DESKTOP_SESSION_SHARE,IS_18_24,IS_25_34,IS_35_44,IS_45_54,IS_55_PLUS,SPENT_ON_BLACK_FRIDAY,SPENT_IN_HOLIDAY_SEASON,SPENT_AROUND_VALENTINE,TOTAL_SPEND
Cluster 1,AMERICAS,0,1,63.71651421518383,77.95825787096685,219.99498316360058,28.369955678634685,366.74172222780436,0.1,3,0.35425600435859644,0.6457439956414035,0,0,0,1,0,26.364247048639054,86.68090197068676,37.381801866358394,756.7814331561904
Cluster 1,APAC,0,1,57.22971942325502,71.98192632298321,209.3331326427231,48.950220753658364,346.55426808606086,0.08,62,0.6575251813786543,0.34247481862134566,0,1,0,0,0,63.31731119758382,59.290082543999546,271.5089703802877,734.0492672286805
Cluster 1,EMEA,1,0,488.44035113697055,93.2274683199201,25.416660101596644,102.39493783303213,19.23575302488596,0.13,60,0.6942289071044101,0.3057710928955899,1,0,0,0,0,206.87770422304368,231.8640804157564,33.290198344001524,728.7151704164055
Cluster 1,APAC,1,0,341.5883325736378,93.80104261659889,11.252531698222343,226.34271618924978,27.990165334790625,0.19,14,0.9188625726430611,0.08113742735693885,0,1,0,0,0,61.339957696485946,154.16685200516474,342.2344048698698,700.9747884124995
Cluster 1,AMERICAS,0,1,84.58637582367363,66.37793247016661,256.18690193747614,31.70784332632994,328.1848449949525,0.33,65,0.2724699089753607,0.7275300910246393,0,0,0,1,0,45.53933663580128,108.69763494360762,11.2671840443576,767.0438985525989
Cluster 1,EMEA,0,1,79.41433120173512,29.625804725431745,271.6931457088545,14.634762381005189,472.6206851751187,0.27,34,0.22303322263338915,0.7769667773666109,0,0,0,1,0,70.19571273972466,183.18447132349934,63.21680089369544,867.9887291921452
Cluster 1,EMEA,0,1,20.763482134447152,112.72182233898936,352.1570097233795,32.45108790277985,454.1934359909122,0.22,9,0.833289244048893,0.16671075595110696,0,0,1,0,0,49.54028516791931,90.34384046707925,90.61872361061674,972.2868380905079
Cluster 1,APAC,1,0,481.5132947852186,52.40798978935374,26.415316921425188,213.3326707814573,19.1519266196649,0.08,59,0.8360923377591136,0.16390766224088638,0,0,1,0,0,66.19186433204139,109.1267371675428,19.494483384724354,792.8211988971198
Cluster 1,APAC,1,0,478.51179969799557,90.11449144903459,42.2976062065625,234.41369498852399,22.720138998874553,0.09,27,0.770804732917438,0.229195267082562,0,1,0,0,0,87.46575249307091,51.39042610623814,252.14946051551314,868.0577313409912
Cluster 1,APAC,0,1,34.24711004186693,51.73631789221064,233.6582084345861,18.75056878292281,411.62040040346824,0.19,62,0.6326495378009778,0.36735046219902223,0,1,0,0,0,37.07904788350927,106.96809887549352,157.37738947090656,750.0126055550547
Cluster 1,APAC,1,0,306.6101465801097,64.85926224346879,35.37405378805455,202.10581773321502,31.237383332685454,0.21,70,0.6850207422505642,0.3149792577494358,0,0,1,0,0,78.54576537958458,97.52750879847993,75.53947137506736,640.1866636775335
Cluster 1,EMEA,1,0,379.76488848891063,126.13614351851992,41.93380499938205,122.60763159481442,30.327951069628746,0.29,3,0.887358941563538,0.112641058436462,0,0,1,0,0,11.492904603507053,152.4186116598562,30.384619767814417,700.7704196712557
Cluster 1,APAC,0,1,45.78148189787701,87.30767556857242,367.5420211814656,37.027604681571226,447.0432238481544,0.12,31,0.8556121798533965,0.14438782014660345,1,0,0,0,0,331.9968092068358,213.44444004024317,59.96807304395161,984.7020071776407
Cluster 1,APAC,1,0,493.08387025775875,92.57814896892269,45.305453727573585,128.30606625120691,21.154854103687274,0.3,80,0.921707079698011,0.07829292030198898,0,1,0,0,0,17.572596849554394,82.32574281892275,329.7108377054158,780.4283933091492
Cluster 1,APAC,1,0,488.02668849155566,146.57629877819124,21.356838989498627,145.804579051659,29.424550143449064,0.21,61,0.704550273803858,0.29544972619614196,1,0,0,0,0,247.44981749936002,115.07993963185355,77.18422646062217,831.1889554543536
Cluster 1,APAC,0,1,37.72547126671503,90.53022997213691,301.762815367752,35.453304727435814,350.09236372111684,0.26,51,0.38271832490360236,0.6172816750963976,0,0,0,1,0,81.53301731874836,150.52741862103844,61.92134961637232,815.5641850551566
Cluster 1,APAC,0,1,54.92740418962771,94.3605458971938,353.7108028612618,11.74415087017735,498.9101021594682,0.21,46,0.8714000494092092,0.12859995059079077,1,0,0,0,0,203.09132330577347,235.66371251754506,48.53657334855829,1013.6530059777288
Cluster 1,AMERICAS,0,1,16.78116304055154,59.74061250733364,238.1822062300692,20.738994275606274,397.0559748552631,0.18,54,0.4762937472303228,0.5237062527696772,0,0,0,0,1,18.745884439369167,173.00144533983394,99.10484650938369,732.4989509088238
Cluster 1,EMEA,1,0,364.5101528477201,130.32707334020768,15.464853257681153,206.3366495365178,32.11279907631631,0.15,26,0.8257207490980107,0.17427925090198926,0,0,1,0,0,92.19164973008242,152.26847977218756,55.136466521847964,748.751528058443
Cluster 1,AMERICAS,1,0,379.35676544277766,26.599909035121602,45.464685958026394,104.1425157810557,33.15459582030235,0.2,63,0.7465337258149937,0.25346627418500633,0,0,1,0,0,58.838017123681894,107.30825042565688,63.174993451210966,588.7184720372837
Cluster 1,EMEA,1,0,360.65310293464455,89.82071553556521,23.066049671841636,224.1803505681383,20.861716632789676,0.39,68,0.8438022597421676,0.1561977402578324,1,0,0,0,0,282.2707810113357,189.90244215343876,22.451778317602123,718.5819353429795
